Department,Question,Method3,Answer 3 References,Method2,Answer 2 References,Method1
Civil,"How are speed, flow, and density related on roads, and which simple measures (signal timing, lane balance) reduce intersection delay?","Among the retrieved ETDs, the most relevant to signalized intersection optimization are: (1) ""Isolated Traffic Signal Optimization Considering Delay, Energy, and Environmental Impacts,"" which develops new formulations for optimizing signal cycle lengths by considering not only delay but also fuel consumption and emissions—demonstrating that optimizing for environmental impacts often results in longer cycle lengths than optimizing for delay alone [1]; (2) ""Methods to reduce dimensionality and identify candidate solutions in multi-objective signal timing problems,"" which introduces a multi-objective genetic algorithm (NSGA-II) for optimizing signal timings, allowing engineers to balance competing objectives and visualize trade-offs, thereby supporting more nuanced and location-specific signal timing decisions [2]; (3) ""Delay, Stop and Queue Estimation for Uniform and Random Traffic Arrivals at Fixed-Time Signalized Intersections,"" which rigorously compares analytical and simulation-based models for estimating delays and queues, highlighting the limitations and applicability of each under various traffic conditions [3]; and (4) Table [4] from another ETD, which presents quantitative impacts of noise on performance metrics in traffic prediction models, offering valuable empirical data for model evaluation. These works collectively provide a robust foundation for advanced signalized intersection optimization, integrating operational, environmental, and methodological perspectives.","[1] https://hdl.handle.net/10919/74238
[2] https://etda.libraries.psu.edu/catalog/14998omh5029
[3] https://hdl.handle.net/10919/27030
[4] Table 3.4: Impact of Noise on Performance Metrics of DCIGN Predictions of Test Cases (Document: https://hdl.handle.net/10919/86364)","The relationship between speed, flow, and density on roads is a fundamental concept in traffic engineering. Research has investigated various aspects of traffic flow, including the impact of intersection control on delay. A study on evaluating drivers' stop-line violation behavior at signalized intersections found that factors such as lane usage and road type influence driver behavior [1]. Another study modeled and optimized network infrastructure for autonomous vehicles, exploring the potential benefits of advanced technologies like reservation-based intersection control [2]. The results showed that optimized intersection control can significantly reduce travel times. A third study investigated the performance evaluation of connected vehicle applications, developing a novel system for providing lane merge advisories [3]. A figure from another source illustrates the roads covered in an experiment, with red and green coloring indicating different lanes [4]. While these studies do not directly address the question, they provide insights into the complex interactions between traffic flow, intersection control, and emerging technologies.","[1] https://etda.libraries.psu.edu/catalog/12375xzz117 
[2] https://hdl.handle.net/2152/47311 
[3] https://dc.etsu.edu/etd/3214 
[4] 79086_67_T9TF.jpg","Modeling and optimizing network infrastructure for autonomous vehicles
An Investigation into the Performance Evaluation of Connected Vehicle Applications: From Real-World Experiment to Parallel Simulation Paradigm
Evaluating Drivers’ Stop-line Violation Behavior at Signalized Intersections
Figure 4.4. Roads in Denton that were covered in this experiment. Red coloring indicates one side of the road (or right lane) while the green indicates the other side of the lane (left lane). Clockwise and counter-clockwise was an easier way to describe which direction while organizing the condition measurement process. (Document: A Driver, Vehicle and Road Safety System Using Smartphones)"
Civil,"How do recycled aggregates (RAP, RCA, steel slag) and supplementary cementitious materials change workability, strength gain, and long-term durability?","Research demonstrates that recycled concrete aggregate (RCA) and reclaimed asphalt pavement (RAP) can serve as sustainable alternatives to virgin aggregates in pavement subgrade and base layers. Stabilizing low-quality RCA with fly ash and Portland cement significantly enhances subgrade strength, stiffness, and shrinkage properties, with economic benefits realized when these combinations are used together[1]. Field evaluations indicate that blends of RCA and RAP (specifically a 60–40% mix) perform satisfactorily as improved subgrades, with minimal rutting under load, while 100% RAP layers may suffer from greater deformation[2]. Studies on Portland cement treated bases show that increasing cementitious binder content improves durability, and RCA can match the performance of virgin aggregates, though freeze-thaw durability criteria may need adjustment for D-cracked aggregates[3]. The use of unconventional recycled aggregates is viable for low-volume and unsurfaced roads, but careful control of blend ratios and compaction is crucial to mitigate deformation and ensure long-term performance[2]. The addition of SCMs (supplementary cementitious materials) such as fly ash or slag further enhances performance by improving long-term hydration, reducing microcracking, and mitigating volumetric instability. This is supported by experimental evidence showing reduced length change and microstrain in SCM-modified mixtures, indicating enhanced dimensional stability and durability under cyclic moisture and temperature variations [4]. Overall, the effectiveness of recycled materials hinges on appropriate mix design, stabilization, and quality control.","[1] https://hdl.handle.net/2097/39452
[2] https://hdl.handle.net/2142/101130
[3] https://hdl.handle.net/2097/38837
[4] Figure 6.5: Percentage Length Change vs. Microstrain for Supplemental Cementitious Material Mixtures. (Document: https://hdl.handle.net/10919/27605)","The use of recycled aggregates and supplementary cementitious materials can significantly impact the workability, strength gain, and long-term durability of concrete. Research has shown that recycled concrete aggregate (RCA) can be used to stabilize subgrade soil, improving its strength and stiffness [1]. Another study found that glass cullet can be used as a 100% fine aggregate replacement in Portland cement concrete, resulting in improved workability and durability [2]. A third study evaluated the performance of unconventional aggregates, including reclaimed asphalt pavement (RAP) and RCA, in construction platform and low-volume road applications, finding that they can be viable alternatives to traditional materials [3]. A figure from another source illustrates the compressive strengths of supplemental cementitious material mixtures, highlighting the potential benefits of using these materials [4].","[1] https://hdl.handle.net/2097/39452 
[2] https://etda.libraries.psu.edu/catalog/14794 
[3] https://hdl.handle.net/2142/101130 
[4] 502846_48_CBXQ.jpg","Evaluation of low-quality recycled concrete pavement aggregates for subgrade soil stabilization
Examining Concrete Properties Containing Recycled Glass Cullet as a 100% Fine Aggregate Replacement
Performance evaluation of unconventional aggregates from primary and recycled sources for construction platform and low volume road applications
Figure 5.4 Compressive Strengths for Supplemental Cementitious Material Mixtures. (Document: Development of Concrete Shrinkage Performance Specifications)"
Civil,"Which entry-level hydraulic model inputs (channel geometry, roughness, boundary conditions) most influence predicted water level and velocity?","Accurate prediction of river channel morphology and sediment transport hinges on using models that capture the interplay between hydraulic geometry, watershed characteristics, and topographic features. Empirical approaches, such as those using bankfull discharge and watershed variables, have shown that bankfull discharge alone can sufficiently estimate channel width and depth, as it encapsulates the effects of other watershed parameters; however, channel slope is more sensitive to drainage area and valley slope than to discharge itself[1]. Physically-based numerical models, including 1D and 2D morphodynamic models, now incorporate constraints like the formative bankfull Shields Number and account for channel/floodplain elevations, improving predictions of channel width, depth, and incision over time[2]. Additionally, studies highlight that sediment production is often more closely linked to in-channel and site-specific parameters (e.g., bank height/slope, channel confinement) than to traditional watershed-scale predictors like the Universal Soil Loss Equation (USLE)[3]. Theoretical and numerical modeling of watershed response further confirms that soil data and channel shape are highly sensitive inputs for simulating hydrographs and erosion rates, emphasizing the importance of detailed topographic and hydraulic data in predicting watershed and channel evolution[4].","[1] https://hdl.handle.net/10919/51801
[2] https://hdl.handle.net/2142/101678
[3] https://hdl.handle.net/10919/99990
[4] https://hdl.handle.net/10217/198161","The question about the most influential entry-level hydraulic model inputs for predicted water level and velocity is not directly addressed by the provided URIs and abstracts. However, research on aggregate materials and their properties can provide some insights into the importance of accurate input parameters. A study on the durability of Wisconsin aggregate resources found that the physical and mechanical properties of aggregates are crucial for their performance in various applications [1]. Another study evaluated the use of recycled concrete aggregate (RCA) for subgrade soil stabilization, highlighting the importance of understanding the properties of materials used in construction [2]. A third study investigated the use of glass cullet as a fine aggregate replacement in concrete, demonstrating the need for accurate characterization of material properties [3]. A fourth study evaluated the performance of unconventional aggregates, including reclaimed asphalt pavement (RAP) and RCA, in construction platform and low-volume road applications, emphasizing the importance of understanding material properties and behavior [4].","[1] https://hdl.handle.net/10919/31822 
[2] https://hdl.handle.net/2097/39452 
[3] https://etda.libraries.psu.edu/catalog/14794 
[4] https://hdl.handle.net/2142/101130","Evaluation of low-quality recycled concrete pavement aggregates for subgrade soil stabilization
Examining Concrete Properties Containing Recycled Glass Cullet as a 100% Fine Aggregate Replacement
Performance evaluation of unconventional aggregates from primary and recycled sources for construction platform and low volume road applications
Investigation of Testing Methods to Determine Long-Term Durability of Wisconsin Aggregate Resources Including Natural Materials, Industrial By-Products, and Recycled/Reclaimed Materials"
Civil,"What flow strength and grain-size conditions trigger sediment motion in rivers, and how is the threshold estimated (e.g., Shields parameter)?","Experimental investigations have shown that under shallow flow conditions (relative depth <10, Froude number >0.5), the traditional Shields diagram underestimates the critical shear stress required for incipient sediment motion; the Shields parameter can be up to twice as large in shallow flows versus deep flows, and it is also dependent on particle density[1]. Turbulence fluctuations play a crucial role: both the magnitude and duration of turbulent forces (“impulse events”) are important for initiating sediment motion, with sweep-type flow structures being particularly effective at dislodging grains. The frequency of these impulse events directly influences particle entrainment rates, and increased turbulence downstream of obstacles (like cylinders) can significantly enhance sediment movement[2]. Furthermore, laboratory studies using advanced velocimetry and image analysis have demonstrated that instantaneous normal stress in the streamwise direction is the dominant factor, and that sediment entrainment often coincides with periods of energetic turbulent bursts (“bursting cycles”)[3]. Numerical and empirical studies further confirm that the relationship between non-dimensional sediment transport and the Shields parameter is complex and highly sensitive to flow regime, as illustrated in Figure [4]. Collectively, these findings suggest that predictive models for sediment incipient motion must explicitly account for turbulence statistics, impulse duration, and shallow flow effects to improve accuracy.","[1] https://hdl.handle.net/10919/30999
[2] https://hdl.handle.net/10919/28731
[3] https://hdl.handle.net/10919/30591
[4] Figure 5.6: Non-dimensional sediment transport vs. Shields parameter for selected numerical experiments (Document: Methods Development and Validation for Large Scale Simulations of Dense Particulate Flow systems in CFD-DEM Framework)"," A study on the numerical simulation of fine-grained sediment pulses in alluvial rivers investigated the mechanisms governing sediment transport and deposition [1]. Another study developed a fluvial oil-particle aggregate (OPA) drift simulator to evaluate the fate and transport of contaminated sediment in rivers, highlighting the importance of considering OPA formation in certain conditions [2]. A third study experimentally investigated the impact of permeable layer thickness on surface flow and the threshold for incipient motion of submerged objects, finding that the Shields parameter is affected by bed permeability and thickness [3]. A table from another source summarizes equations for threshold conditions in mountain rivers with shallow flows, providing a useful reference for understanding sediment transport [4].","[1] https://hdl.handle.net/10919/82348
[2] https://hdl.handle.net/2142/108062 
[3] https://hdl.handle.net/2142/105045 
[4] 522296_39_HJU1.jpg","Experimental investigation of the impact of the permeable layer thickness on the surface flow above and the threshold for incipient motion of submerged objects
Development of a fluvial oil-particle aggregate (OPA) drift simulator to evaluate the fate and transport of contaminated sediment in rivers
Numerical Simulation of the Propagation of Fine-Grained Sediment Pulses in Alluvial Rivers
Table 2.2 Summary of equations for threshold conditions in mountain rivers with shallow flows. (Document: Incipient Motion Under Shallow Flow Conditions)"
Civil,"How do rainfall intensity, soil type, and land cover shape a watershed runoff hydrograph in first-pass methods (Curve Number, Rational)?","Multiple studies demonstrate that incorporating spatial and temporal heterogeneity of watershed characteristics—such as land use, soil type, slope, and rainfall—significantly affects hydrologic and sediment modeling outcomes. For instance, a GIS-based hydrologic model showed that accounting for temporal variation in excess rainfall improved hydrograph predictions, while spatial variability in excess rainfall had less impact for some watersheds, though sensitivity analysis indicated spatial distribution can be important under certain conditions [1]. Land use and land cover changes, particularly deforestation and increased cropland, were linked to higher runoff, increased sediment yield, and altered streamflow patterns, highlighting the need for spatially explicit modeling to inform sustainable management [2]. Physically-based models using nonlinear kinematic wave approximations can simulate both water and sediment yield with sensitivity to soil and topographic data, and are capable of predicting the effects of watershed treatments [3]. Field and modeling studies of riparian hillslopes further confirmed that site-specific factors—such as slope gradient, soil horizon thickness, and flow concentration—strongly influence water and sediment movement, underscoring the necessity of detailed spatial evaluation for accurate simulation and management of watershed processes [4].","[1] https://hdl.handle.net/10919/36216
[2] https://hdl.handle.net/10919/83863
[3] https://hdl.handle.net/10217/198161
[4] https://hdl.handle.net/10919/39577","A study on the impacts of land use and land cover changes on hydrology and soil erosion in the Upper Ruvu watershed, Tanzania, found that land alterations significantly affected surface runoff and sediment yield [1]. Another study developed a GIS-based spatially distributed unit hydrograph model that accounts for spatial variation in watershed characteristics, such as slope, land use, and soil drainage potential [2]. A third study incorporated spatial and temporal variation of watershed response in a GIS-based hydrologic model, finding that accounting for temporal variation in excess rainfall improved hydrograph prediction accuracy [3]. A fourth study developed a mathematical model for simulating watershed response, including water yield, sediment yield, and stream morphology, using a nonlinear kinematic wave approximation for flow routing [4].","[1] https://hdl.handle.net/10919/83863
[2] https://hdl.handle.net/10919/35777 
[3] https://hdl.handle.net/10919/36216 
[4] https://hdl.handle.net/10217/198161","Incorporating Spatial and Temporal Variation of Watershed Response in a GIS-based Hydrologic Model
Mathematical modeling of response from small watershed
Development and Evaluation of a Gis-Based Spatially Distributed Unit Hydrograph Model
Impacts of Land Use and Land Cover Changes, and Climate Variability on Hydrology and Soil Erosion in the Upper Ruvu Watershed, Tanzania"
Civil,"Which factors most influence vehicle energy use in traffic (speed profiles, stops, grades), and what simple strategies reduce fuel consumption?","Thermal management in aerospace systems is increasingly addressed using integrated simulation and optimization frameworks. One study implemented comprehensive thermodynamic models for military aircraft, focusing on the integration of higher-fidelity transient heat exchanger models, which led to notable improvements in subsystem and overall vehicle performance through mission-integrated synthesis and design optimization [1]. Another work provides an overview of commonly used thermal management techniques, illustrating the diversity of approaches in the field [2]. In the context of battery modules for electric vehicles, combining experimental and numerical approaches with active control strategies achieved up to 80% reductions in parasitic energy consumption compared to passive methods [3]. Additionally, artificial intelligence is being applied to space communications networks for real-time adaptation and optimization, enabling more efficient resource allocation and improved mission outcomes [4]. These findings collectively highlight the value of advanced modeling, optimization, and AI in addressing thermal and operational challenges in complex engineering systems.","[1] https://hdl.handle.net/10919/76855
[2] Fig. 1.2 Commonly used thermal management techniques. (Document: https://hdl.handle.net/1853/54376)
[3] https://hdl.handle.net/10919/51748
[4] https://etda.libraries.psu.edu/catalog/16634tmh5344","The question about the factors that most influence vehicle energy use in traffic and simple strategies to reduce fuel consumption is addressed by several studies. Research has investigated various aspects of vehicle energy use, including the impact of speed profiles, stops, and grades on fuel consumption. A study on EcoRouting found that parameters such as acceleration, deceleration, and road grade affect vehicle energy consumption [1]. Another study developed an Eco-Cooperative Adaptive Cruise Control (ECACC) system that reduced fuel consumption by up to 30% [2]. Additional studies have quantified the environmental impacts of roadway grades and proposed procedures for screening high emitting vehicles [3], and systematically quantified the impact of various travel-related and driver-related factors on vehicle fuel consumption and emissions [4]. While these studies provide insights into vehicle energy use, they highlight the complexity of the issue and the need for further research.","[1] https://hdl.handle.net/10919/78678 
[2] https://hdl.handle.net/10919/56987 
[3] https://hdl.handle.net/10919/46178 
[4] https://hdl.handle.net/10919/33350","Quantifying the Impact of Traffic-Related and Driver-Related Factors on Vehicle Fuel Consumption and Emissions
An Analysis of EcoRouting Using a Variable Acceleration Rate Synthesis Model
Developing Procedures for Screening High Emitting Vehicles and Quantifying the Environmental Impacts of Grades
Eco-Driving in the Vicinity of Roadway Intersections - Algorithmic Development, Modeling and Testing"
Ece,Which methods are commonly used to estimate a spacecraft’s orientation from onboard sensors?  ,"Recent research demonstrates significant advances in sensor fusion and estimation techniques for object orientation and pose estimation in various autonomous systems. Notably, low-cost MEMS inertial sensors can be effectively fused, overcoming accelerometer vibration noise and gyroscope bias through tailored algorithms, which is particularly beneficial for small UAVs facing such challenges [1]. In automotive contexts, radar-based fusion methods have been developed to estimate trailer rotation by registering radar point clouds and applying Kalman filtering, with calibration approaches ensuring robust deployment across environments [2]. For spacecraft, compressive sensing frameworks have been designed to reduce sensor count and power consumption during attitude determination, using ultra-sparse measurement matrices and empirically fast recovery algorithms to extract orientation from star field images [3]. Additionally, integrating IMUs and wheel encoders with absolute time-of-flight sensors via particle filtering enables accurate, drift-free localization in mobile robots, successfully handling nonlinearities and supporting perpetual navigation [4]. A practical illustration of vehicle coordinate frame standards is provided in Figure [F][5], which aids in understanding the spatial reference systems essential for sensor fusion and orientation estimation. Together, these works highlight the effectiveness of multi-sensor data fusion, advanced estimation algorithms, and calibration in achieving high-accuracy orientation and pose estimation, even under noise, drift, and environmental variability.","[1] https://scholarworks.uvm.edu/graddis/537
[2] https://doi.org/10.37099/mtu.dc.etdr/1102
[3] https://hdl.handle.net/1721.1/66422
[4] https://hdl.handle.net/2142/99528
[5]481843_76_ZF0D.jpg","Estimating a spacecraft’s orientation using onboard sensors can involve various methods from different domains. Articulated robotic tails, designed to assist with balance in legged robots, have been explored for inertial adjustments which may influence orientation estimation strategies [1]. In underwater environments, relative pose estimation is achieved through fusion of sonar and camera data using factor graphs, enhancing motion tracking even in featureless settings [2]. Similar sensor fusion using LiDAR and monocular cameras aids in tracking pedestrians, which implies comparable techniques could apply to spacecraft for detecting surrounding objects and estimating position changes [3]. Orientation estimation has also been examined using the Instantaneous Phase Method for wire targets, providing angular estimates from numerical data, which could theoretically be adapted for spacecraft wire-based sensing or calibration [5]. While not directly related, studies comparing verbal list learning tasks in neuropsychology demonstrate the importance of choosing appropriate evaluation methods when dealing with multiple information sources, which might loosely parallel the need to assess different sensor types for orientation [4].","[1] https://hdl.handle.net/10919/82908
[2] https://hdl.handle.net/1853/56179
[3] https://hdl.handle.net/1721.1/106011
[4] https://hdl.handle.net/10657/1154
[5] 61718_154_EBCB.jpg","Under-ice relative pose estimation and ice anomaly mapping with an unmanned underwater vehicle
Design and Implementation of Articulated Robotic Tails to Augment the Performance of Reduced Degree-of-Freedom Legged Robots
Similarities and Differences among Commonly Used Verbal List Learning Tasks
Pedestrian detection and tracking for mobility on demand
Figure 115: Orientation angle estimates (in degrees) with the Instantaneous Phase Method for wire targets from numerical results.
Document: Analysis of resistive-vee dipole antennas for producing polarization diversity"
Ece,What factors influence real-world energy efficiency outcomes in buildings and power systems? ,"Combined heat and power (CHP) systems, as applied to commercial buildings, offer significant opportunities for cost savings, emissions reductions, and improved primary energy efficiency by utilizing waste heat and minimizing transmission losses. For example, natural gas-based CHP, especially when integrated with thermal energy storage (TES), can further boost these benefits by storing excess thermal energy for later use, as demonstrated in detailed analyses of U.S. commercial buildings[1]. Beyond CHP, distributed energy systems that combine photovoltaics (PV), battery storage (BES), and TES, optimized through multi-objective algorithms, can achieve a balance between economic and environmental goals, with payback periods and carbon emissions highly sensitive to system sizing and regional factors[2]. The integration of renewable energy sources like solar PV, alongside intelligent control strategies such as precooling and leveraging building thermal mass, not only reduces operational costs but also supports grid stability by providing frequency regulation services[3]. At the occupant level, eco-feedback systems and data-driven behavioral modeling have proven effective in motivating energy-efficient behaviors, quantifying conservation impacts, and optimizing comfort and energy use, with savings between 11% and 22% achievable without sacrificing occupant satisfaction[4]. Additionally, the complexity and accuracy of building energy simulations can be improved by classifying buildings based on energy use patterns and focusing on significant heat transfer processes, as shown in frameworks that streamline simulation inputs for rapid and reliable results[5]. These multifaceted approaches collectively highlight the importance of integrating technology, occupant behavior, and smart optimization in advancing energy efficiency and sustainability in commercial buildings.","https://scholarsjunction.msstate.edu/td/1086
https://scholarsjunction.msstate.edu/td/4228
https://ir.ua.edu/handle/123456789/3344
https://hdl.handle.net/10919/64867
https://etda.libraries.psu.edu/catalog/21156 [Figure]","Real-world energy efficiency outcomes in buildings and power systems are affected by a mix of factors, some of which involve electric vehicle charging and how it stresses distribution systems unless managed with solar and ice storage in buildings [1]. There’s also the issue of braking and propelling losses in electric vehicles, which matter because they tell us where energy is wasted during drive cycles and how that affects efficiency depending on the battery or grid source [2]. Remote sensing systems using solar energy have their own problems like unreliable communication, data loss, and harsh conditions, which makes it harder to maintain efficient operation [3]. Traffic prediction using machine learning is also discussed somewhere, and apparently helps reduce energy use, though it’s not clear how exactly [4]. Lastly, real-time energy measurements using some setup shown in a figure are important too, since knowing what’s being used helps in being efficient [5].
References","[1] https://hdl.handle.net/10919/86654
[2] https://hdl.handle.net/10919/32879
[3] https://hdl.handle.net/2142/29723
[4] https://etda.libraries.psu.edu/catalog/16333hzz5039
[5] 49966_41_C7DZ.jpg","Energy Losses for Propelling and Braking Conditions of an Electric Vehicle
An Approach to Mitigate Electric Vehicle Penetration Challenges through Demand Response, Solar Photovoltaics and Energy Storage Applications in Commercial Buildings
Towards building reliable solar-powered remotely-deployed sensing systems
Temporal and Structural Machine Learning from Transportation Data
Figure 10: Real Time Energy and Efficiency Measurement Setup.
Document: New power converter topologies for minimizing energy consumption of electronic appliances"
Ece,"Which approaches are used to estimate appliance-level energy use from one meter, and how are they compared? ","Automated residential energy management technologies, such as Residential Energy Management Systems (REMS), programmable thermostats, direct load control, and smart appliance scheduling, are increasingly used to optimize household energy use, reduce costs, and mitigate environmental impacts. Simulation studies demonstrate that REMS can monitor, plan, and control energy consumption at the appliance level, accounting for consumer behavior and stochastic usage patterns. These systems, when combined with stationary batteries and advanced scheduling, help utilities compare technology options and guide investment strategies by quantifying impacts on fuel use and emissions[1]. Data-driven analytics, leveraging smart meter data, enable segmentation of consumers for demand response (DR) programs, identify time-of-use patterns for flexible loads, and assess the adoption of distributed resources like solar panels and batteries. Such approaches have shown that targeted DR can achieve significant peak reduction, and integrating batteries or smart loads improves self-sufficiency and demand-supply balance at the community level[2]. Additionally, the proliferation of smart meter data presents opportunities and challenges for both utilities and consumers to optimize energy use, though analysis is complicated by aggregated and coarse measurements[3]. Detailed clustering techniques using high-resolution energy data further enhance understanding of household consumption patterns and support personalized energy programs[4]. To illustrate the effectiveness of such management systems, Figure 48 from a REMS simulation study visually depicts daily energy outcomes under direct load control scenarios, highlighting the tangible benefits of automated control strategies[5].","[1] https://hdl.handle.net/1853/45865
[2] https://hdl.handle.net/10919/99210
[3] https://doi.org/10.7275/6040398.0
[4] https://hdl.handle.net/10919/99317
[5] Figure Link (Document: https://hdl.handle.net/1853/45865)","Appliance-level energy use estimation from a single meter has been studied using different methods that try to figure out what devices are on based on overall power usage, but the ways they do this can be quite different. Some data-driven approaches use machine learning to detect appliance usage times (ToU) without requiring sensors on every appliance, instead training models on buildings with similar energy shapes to identify things like dryers and electric vehicles from smart meter data [2]. Another work talks about how smart plugs and solar meters can provide detailed data, though it doesn’t go into how exactly they compare with one-meter methods [3]. A separate project focuses on managing appliances for demand response using preferences and settings but doesn’t really show how energy is broken down per appliance unless there’s extra hardware [1]. Meanwhile, there’s a figure that shows estimated energy compared to measured energy, but it’s not explained how the estimate was done or how accurate it is in general [5]. One unrelated document talks about romantic relationship breakups [4], which doesn’t have anything to do with appliance energy estimation but was included anyway.","[1] https://hdl.handle.net/10919/23689
[2] https://hdl.handle.net/10919/99210
[3] https://doi.org/10.7275/13576654
[4] https://hdl.handle.net/2346/13558
[5] 433023_84_P7I4.jpg ","Data-driven customer energy behavior characterization for distributed energy management
Design and Implementation of a Web-based Home Energy Management System for Demand Response Applications
Figure 6.6: Estimated and measured energy. Estimated energy calculated using generated model compared to total energy directly measured using external power meter.
Document: A flexible fine-grained adaptive framework for parallel mobile hybrid cloud applications
Relationship breakups: Are they all bad?
Scalable Data-driven Modeling and Analytics for Smart Buildings"
Ece,What energy and peak-demand savings are reported for common HVAC upgrades in buildings?,"Commercial and residential buildings play a crucial role in grid stability and energy efficiency, especially during peak demand periods. In commercial settings, innovative demand response (DR) strategies are being developed, such as machine learning-based load disaggregation techniques that accurately predict individual HVAC power consumption from aggregated data, enabling tailored load control and optimal bid pricing for double-auction DR schemes that consider user preferences and priorities[1]. The integration of electric vehicles (EVs), solar photovoltaics (PV), and ice storage in commercial buildings further enhances grid flexibility, allowing for coordinated control strategies that mitigate the challenges of EV charging and maximize benefits from clean energy and storage, all while maintaining occupant comfort[2]. On the residential side, microgrid optimization using controllable loads like HVAC and water heaters, coupled with local PV generation, can achieve significant energy savings, peak reduction, and cost benefits, as demonstrated in studies showing up to 41.3% reduction in peak energy and 16.6% in total cost[3]. Additionally, simulation and empirical data from energy-efficient homes in cooling-dominated climates reveal that strategies such as PV integration, improved building envelopes, and battery storage can yield up to 75% peak load reduction during critical periods[4][F]. The shift from static, reactive DR to dynamic, context-aware frameworks—leveraging deep learning for load forecasting and disaggregation—further empowers buildings to actively participate in grid operations, ensuring both economic and operational resilience[5].","[1] https://hdl.handle.net/10919/96602
[2] https://hdl.handle.net/10919/86654
[3] https://hdl.handle.net/1853/63638
[4] https://dx.doi.org/10.34917/4478192
[5] https://hdl.handle.net/10919/104927","Energy and peak-demand savings from HVAC upgrades are discussed in various ways, though not always clearly. Some work describes using reinforcement learning and software to control HVAC during demand response, but doesn’t give specific numbers, just that user comfort is somehow balanced with savings [1]. Another approach talks about adjusting HVAC setpoints using deep learning, and mentions that it helps reduce peak load, but again there aren’t exact savings figures tied to HVAC alone [2]. There’s a study that uses machine learning to separate HVAC power from other loads and control it using an auction-based algorithm, which is said to be effective, though how much it saves is unclear [3]. One place that does give numbers says HVAC and water heating optimization led to 12.9% energy savings, 41.3% peak reduction, and 16.6% cost reduction, which seems useful but it's not clear how generalizable those numbers are [4]. Another source mentions that ASHRAE provides assessment standards and software tools for HVAC systems like eQUEST, and gives a list of assessment recommendations, saying there are six for HVAC, but doesn’t break down the actual savings [5].","[1] https://hdl.handle.net/10919/74423
[2] https://hdl.handle.net/10919/104927
[3] https://hdl.handle.net/10919/96602
[4] https://hdl.handle.net/1853/63638
[5] https://ir.ua.edu/handle/123456789/1856","Optimization of residential microgrids using black-box modeling methods
A Deep Learning-based Dynamic Demand Response Framework
Development of a Software Platform with Distributed Learning Algorithms for Building Energy Efficiency and Demand Response Applications
Industrial energy systems and assessment opportunities
Electrical Load Disaggregation and Demand Response in Commercial Buildings"
Ece,"What protection strategies are proposed for power grids with lots of solar and wind, and how do they adapt to changing conditions? ","The integration of wind and solar energy into modern power grids presents significant operational and protection challenges, primarily due to the variable and intermittent nature of these resources. High penetration of renewables like wind and solar increases net load volatility, ramping requirements, and the need for grid flexibility, which complicates the balancing of supply and demand and impacts system reliability and stability. For instance, studies on the Electric Reliability Council of Texas (ERCOT) grid show that while large-scale solar and wind installations can reduce dispatch costs and emissions, they also intensify ramp rates and volatility, especially at different times of day, necessitating more advanced grid management strategies [1]. Microgrids, incorporating distributed energy resources such as wind and solar, further challenge existing protection systems due to their bi-directional power flows and variable short circuit currents; thus, adaptive and advanced protection schemes—such as distance protection with residual voltage compensation and synchrophasor-based busbar protection—are being developed to address these issues [2]. Additionally, the transition to modern, customer-interactive distribution grids with widespread DERs increases the complexity of operation management and requires robust optimization and control methods to manage variability, scalability, and multi-authority coordination [3]. Conventional protection schemes are often inadequate for these new grid dynamics, prompting the adoption of adaptive protection algorithms and relay coordination techniques tailored for multi-topology scenarios [4]. Furthermore, the fault current behavior in wind farms, particularly those using Doubly Fed Induction Generators (DFIG), must be thoroughly understood to determine appropriate protection device ratings and settings, ensuring safe and reliable operation during faults [5].","[1] https://hdl.handle.net/2152/67639
[2] https://scholarsjunction.msstate.edu/td/404 
[3] https://hdl.handle.net/2097/34681
[4] https://hdl.handle.net/10919/103644
[5] https://hdl.handle.net/11244/10239 ","Various strategies are proposed to protect power grids with high solar and wind input, but they deal with different issues and don’t always explain how they work under changing conditions. One study proposes a hybrid solar PV and energy storage system that includes coordinated control of converters to regulate active and reactive power, but it’s not clear how this adapts if weather or load changes quickly [1]. Another approach treats buildings like virtual batteries using thermal mass and HVAC systems for frequency regulation, though the exact performance under volatile grid conditions is mostly described in terms of model accuracy and operation scheduling [2]. A utility-scale study suggests solar and wind don’t complement each other well seasonally, which affects storage needs, and says that grid flexibility is influenced by how much the system can base-load [3]. A simulation of ERCOT grid behavior shows how solar increases ramping and volatility, and the document talks about needing “flexibility” and demand-side solutions like microturbines and chillers [4]. One thesis proposes a new converter control mechanism using fuzzy and adaptive methods that work better than conventional methods when system conditions vary, but only shows the results in simulation and lab tests [5].","[1] https://ir.ua.edu/handle/123456789/1948
[2] https://ir.ua.edu/handle/123456789/3344
[3] https://dx.doi.org/10.34917/3274330
[4] https://hdl.handle.net/2152/67639
[5] https://ir.ua.edu/handle/123456789/612","Energy-based analysis of utility scale hybrid power systems
Control of power converter for grid integration of renewable energy conversion and STATCOM systems
The benefits and challenges of renewables on the electric grid and opportunities for systems integration and demand side management
Uncertainty quantifications and operation optimization of buildings as virtual batteries for the grid with high penetrations of renewables
Solar photovoltaic energy generation and conversion --from devices to grid integration"
